Items_id,Items_name,status,price,stock,available_date,departments_id
1,Purpose Item,out_of_stock,861.06,396,2023-07-16,302
2,Ago Item,available,737.94,377,2024-11-16,95
3,Face Item,available,581.98,349,2023-10-28,33
4,Dog Item,available,736.25,349,2023-08-07,147
5,Since Item,pending,814.09,285,2023-07-09,130
6,Require Item,out_of_stock,698.06,466,2024-11-16,148
7,Wait Item,pending,118.89,107,2024-06-17,201
8,Begin Item,available,177.9,67,2024-07-22,15
9,Knowledge Item,pending,684.77,335,2023-05-15,280
10,All Item,out_of_stock,112.07,10,2023-07-02,105
11,Discover Item,pending,518.21,381,2023-10-18,280
12,Mouth Item,available,543.84,202,2024-07-31,285
13,Agreement Item,out_of_stock,715.01,33,2024-06-29,122
14,Decide Item,pending,338.3,239,2024-10-28,27
15,Rate Item,pending,219.38,96,2024-10-16,69
16,Offer Item,pending,309.42,135,2024-03-11,116
17,Discussion Item,out_of_stock,144.72,274,2024-04-03,52
18,Perform Item,out_of_stock,773.66,242,2023-11-23,208
19,Table Item,out_of_stock,363.59,432,2025-02-24,270
20,According Item,available,298.37,80,2024-11-30,112
21,Sure Item,out_of_stock,199.71,399,2023-08-23,318
22,Save Item,out_of_stock,991.11,24,2024-03-14,390
23,Grow Item,out_of_stock,818.69,163,2023-11-22,4
24,Clearly Item,available,562.9,459,2023-10-05,252
25,Source Item,out_of_stock,864.66,256,2024-01-07,74
26,Blue Item,out_of_stock,940.14,297,2023-07-02,269
27,Husband Item,available,52.02,177,2023-07-05,115
28,Her Item,out_of_stock,487.3,82,2025-02-07,196
29,Guy Item,pending,893.6,441,2024-08-01,267
30,Everything Item,out_of_stock,368.08,9,2025-01-06,226
31,Animal Item,available,649.47,182,2024-11-07,149
32,Machine Item,pending,600.4,59,2024-06-10,234
33,Capital Item,out_of_stock,100.56,302,2025-04-06,141
34,Human Item,out_of_stock,849.54,488,2023-06-21,384
35,Old Item,pending,467.92,332,2023-12-04,219
36,Themselves Item,available,62.14,448,2024-08-21,267
37,Present Item,pending,325.3,486,2025-03-08,264
38,Training Item,available,233.3,246,2024-01-26,288
39,Participant Item,out_of_stock,241.06,372,2023-09-17,73
40,Sea Item,out_of_stock,872.58,358,2023-06-14,52
41,Answer Item,available,239.28,115,2024-09-15,185
42,Drive Item,available,15.61,193,2024-12-11,68
43,Figure Item,available,783.87,80,2023-06-21,196
44,Top Item,available,657.43,235,2023-10-18,314
45,Trial Item,out_of_stock,428.44,280,2023-07-08,357
46,Husband Item,out_of_stock,237.91,162,2023-11-22,141
47,Long Item,pending,49.43,13,2024-08-26,56
48,They Item,pending,371.47,114,2024-01-29,19
49,Commercial Item,available,149.64,334,2024-02-02,104
50,Hear Item,out_of_stock,681.74,163,2023-09-30,132
51,Religious Item,available,544.24,352,2023-11-14,151
52,Science Item,available,112.46,131,2025-04-17,223
53,Result Item,pending,962.25,495,2024-09-05,174
54,Away Item,out_of_stock,876.58,209,2024-08-06,182
55,Prove Item,out_of_stock,337.48,487,2023-08-31,72
56,None Item,out_of_stock,30.76,411,2024-11-07,319
57,Election Item,pending,523.14,376,2023-08-25,163
58,Maintain Item,pending,971.03,322,2024-02-09,395
59,Expect Item,available,233.58,145,2025-04-08,185
60,Push Item,available,709.38,23,2024-10-06,334
61,Onto Item,pending,902.33,106,2023-10-08,175
62,Reveal Item,out_of_stock,439.65,223,2023-12-28,92
63,Threat Item,pending,246.9,430,2024-12-07,66
64,Stand Item,pending,565.71,81,2023-06-03,239
65,Drop Item,out_of_stock,970.31,435,2025-01-18,52
66,Almost Item,out_of_stock,581.13,175,2025-01-05,85
67,Four Item,pending,206.59,154,2024-02-26,369
68,Executive Item,pending,968.73,298,2023-06-11,254
69,Development Item,out_of_stock,269.16,78,2025-03-30,41
70,Yes Item,available,612.07,365,2024-07-04,65
71,Under Item,available,810.63,145,2024-10-29,398
72,Forward Item,out_of_stock,516.13,354,2023-10-03,350
73,Reality Item,available,921.69,174,2024-05-12,184
74,Individual Item,available,388.9,462,2025-03-08,15
75,Who Item,pending,95.95,475,2024-09-01,337
76,Low Item,available,638.95,146,2023-08-09,300
77,Evidence Item,pending,40.91,483,2023-08-07,30
78,Employee Item,out_of_stock,318.1,169,2024-11-19,237
79,Option Item,out_of_stock,175.02,379,2024-06-12,361
80,Everyone Item,out_of_stock,258.5,56,2024-11-21,363
81,Pattern Item,pending,630.31,297,2024-03-18,80
82,Water Item,out_of_stock,239.23,355,2024-07-17,57
83,Inside Item,pending,46.35,160,2024-01-27,60
84,Discuss Item,pending,115.69,310,2023-08-06,61
85,Mr Item,pending,684.13,104,2024-05-08,184
86,Benefit Item,out_of_stock,805.55,161,2024-11-28,139
87,Anyone Item,available,998.38,465,2025-02-17,24
88,Break Item,pending,881.17,353,2023-08-17,106
89,Product Item,pending,566.3,54,2023-08-23,359
90,Structure Item,pending,427.49,344,2024-09-30,369
91,Knowledge Item,available,630.9,114,2024-07-27,160
92,Attack Item,out_of_stock,267.43,347,2024-02-13,194
93,I Item,available,900.66,14,2024-07-26,143
94,Management Item,pending,303.49,111,2024-06-04,201
95,Enter Item,available,729.4,215,2024-06-23,112
96,Traditional Item,available,99.76,412,2023-04-29,99
97,Response Item,pending,314.48,306,2024-10-31,179
98,Building Item,available,132.06,141,2024-10-01,357
99,Value Item,pending,314.71,372,2024-06-11,297
100,Social Item,pending,267.76,4,2023-11-14,391
101,Specific Item,available,383.94,60,2024-08-30,199
102,Grow Item,available,565.43,119,2023-07-16,70
103,Finally Item,available,588.93,76,2024-03-23,272
104,Coach Item,available,969.5,321,2024-04-07,48
105,About Item,pending,995.7,395,2024-11-01,67
106,Type Item,pending,496.2,112,2024-10-30,273
107,Everyone Item,pending,406.58,197,2024-05-13,164
108,Sound Item,pending,490.76,486,2023-09-06,143
109,Movement Item,pending,688.01,204,2025-03-29,318
110,Born Item,out_of_stock,67.92,298,2025-02-25,87
111,Process Item,pending,716.48,84,2023-12-08,239
112,Thought Item,pending,837.07,127,2024-08-29,22
113,Movement Item,available,987.07,137,2024-08-06,337
114,Decide Item,out_of_stock,629.22,88,2023-08-17,146
115,Hour Item,pending,127.89,388,2024-12-03,6
116,Color Item,available,96.99,37,2024-06-12,6
117,Start Item,out_of_stock,76.53,383,2025-04-06,331
118,Nice Item,pending,963.99,245,2025-04-03,346
119,A Item,out_of_stock,21.15,28,2024-07-29,319
120,Game Item,available,196.28,140,2024-05-04,63
121,After Item,pending,972.67,466,2023-07-16,56
122,Woman Item,out_of_stock,909.22,164,2024-01-27,137
123,Unit Item,pending,437.28,406,2025-01-25,162
124,Surface Item,pending,763.03,68,2023-12-15,169
125,Education Item,pending,512.2,89,2023-06-04,148
126,Effect Item,available,28.13,95,2025-03-02,133
127,Our Item,available,539.59,25,2023-06-21,181
128,Bed Item,available,912.48,221,2024-11-09,356
129,Mention Item,available,425.44,394,2025-01-13,151
130,Authority Item,pending,895.54,216,2024-12-01,109
131,No Item,pending,158.55,448,2024-12-05,99
132,Car Item,out_of_stock,130.88,205,2023-07-29,172
133,Receive Item,pending,235.22,297,2024-04-24,142
134,Your Item,out_of_stock,785.74,86,2024-06-21,182
135,Company Item,pending,706.82,351,2023-11-12,87
136,News Item,pending,425.97,432,2025-02-26,196
137,Policy Item,out_of_stock,319.83,350,2024-03-14,293
138,Development Item,out_of_stock,194.24,448,2025-04-11,309
139,Notice Item,available,962.57,11,2024-11-27,208
140,Show Item,out_of_stock,898.1,9,2024-10-07,341
141,Deep Item,out_of_stock,405.04,492,2024-10-25,260
142,Forget Item,pending,51.53,379,2024-02-24,79
143,Remain Item,available,929.92,385,2024-09-06,190
144,Hour Item,out_of_stock,817.6,426,2024-03-26,125
145,We Item,out_of_stock,863.23,85,2024-05-27,186
146,Live Item,out_of_stock,713.08,159,2023-07-23,209
147,End Item,pending,358.36,429,2023-10-12,197
148,Attack Item,out_of_stock,349.99,201,2024-01-08,110
149,Against Item,out_of_stock,571.59,303,2024-07-20,352
150,Once Item,out_of_stock,818.22,113,2023-10-16,6
151,Per Item,out_of_stock,152.02,142,2023-10-09,179
152,Account Item,pending,724.4,238,2023-06-15,158
153,Second Item,pending,551.61,414,2024-08-23,389
154,Artist Item,pending,399.66,388,2023-10-15,82
155,Author Item,pending,696.43,107,2025-03-24,275
156,Almost Item,pending,683.65,410,2025-02-16,153
157,Give Item,out_of_stock,333.51,129,2023-06-15,238
158,My Item,pending,440.54,428,2023-10-22,191
159,Family Item,out_of_stock,409.55,74,2024-09-21,102
160,Mention Item,pending,862.58,294,2023-10-04,333
161,Notice Item,available,387.86,439,2023-08-01,356
162,Several Item,available,490.18,323,2025-04-16,23
163,Us Item,available,275.61,3,2024-07-07,304
164,Part Item,pending,781.66,202,2024-04-22,41
165,Eight Item,pending,411.54,483,2024-12-20,40
166,Material Item,out_of_stock,891.47,150,2025-01-07,201
167,Investment Item,out_of_stock,333.15,320,2023-09-15,177
168,Between Item,out_of_stock,25.27,157,2023-07-05,152
169,Reason Item,out_of_stock,39.62,293,2024-03-20,163
170,Health Item,available,587.23,391,2024-03-15,31
171,Item Item,available,414.78,247,2024-04-17,185
172,Treat Item,pending,471.12,47,2024-11-07,56
173,Arm Item,out_of_stock,605.14,220,2024-09-25,88
174,Ready Item,pending,698.42,271,2024-09-03,46
175,Billion Item,out_of_stock,835.3,182,2023-06-07,94
176,Interesting Item,available,945.49,48,2024-11-06,161
177,Group Item,available,121.78,50,2025-01-01,171
178,Training Item,available,506.38,118,2023-07-14,164
179,Energy Item,out_of_stock,517.49,390,2023-09-16,26
180,Customer Item,pending,835.16,413,2024-06-10,75
181,List Item,pending,677.54,447,2023-08-07,398
182,Knowledge Item,pending,577.48,469,2023-09-10,129
183,Family Item,available,524.16,74,2024-04-14,113
184,Enjoy Item,pending,270.27,289,2025-02-28,60
185,Wind Item,pending,586.66,108,2023-06-18,261
186,Level Item,pending,205.78,124,2025-01-07,390
187,Training Item,available,436.37,31,2025-02-13,103
188,Oil Item,pending,123.73,310,2023-07-06,77
189,Apply Item,available,169.29,198,2024-09-08,124
190,Now Item,out_of_stock,47.95,304,2025-01-29,62
191,Administration Item,available,108.69,347,2023-07-02,166
192,With Item,pending,654.21,213,2024-11-26,42
193,Time Item,out_of_stock,881.99,211,2023-10-21,274
194,Compare Item,available,332.82,257,2024-03-01,273
195,Mention Item,out_of_stock,668.9,46,2024-04-28,256
196,Different Item,available,581.47,144,2025-02-20,53
197,Institution Item,out_of_stock,718.45,1,2025-03-21,319
198,Artist Item,available,33.64,474,2023-08-26,9
199,Hundred Item,pending,507.67,134,2023-04-22,24
200,In Item,pending,446.83,497,2023-11-12,364
201,With Item,pending,391.15,437,2024-12-20,233
202,Still Item,out_of_stock,156.8,83,2024-04-08,119
203,Feeling Item,pending,703.54,106,2024-03-14,58
204,Same Item,out_of_stock,624.86,100,2024-11-08,316
205,Step Item,out_of_stock,209.67,294,2024-06-25,42
206,Recently Item,pending,864.93,190,2024-10-30,379
207,Message Item,out_of_stock,678.13,15,2023-08-19,311
208,Customer Item,out_of_stock,116.84,356,2023-12-07,394
209,Director Item,pending,591.98,99,2023-06-05,61
210,Particularly Item,available,688.75,475,2024-11-12,139
211,Occur Item,available,200.48,480,2023-06-07,312
212,Small Item,pending,27.89,428,2023-12-20,46
213,Art Item,available,550.09,346,2023-05-29,342
214,Pattern Item,out_of_stock,922.26,341,2024-04-25,239
215,Morning Item,pending,660.25,127,2025-04-04,42
216,Tonight Item,available,682.38,252,2024-06-06,231
217,Coach Item,available,557.07,107,2023-06-04,277
218,Movie Item,available,734.07,419,2023-06-22,318
219,Today Item,available,208.33,489,2023-09-12,289
220,Authority Item,pending,292.0,276,2024-07-26,220
221,Author Item,pending,583.55,85,2024-09-26,224
222,Training Item,pending,928.43,345,2023-10-20,261
223,International Item,out_of_stock,253.45,37,2023-07-23,398
224,Year Item,available,611.83,350,2025-03-12,15
225,Over Item,available,506.23,476,2023-10-29,210
226,Particular Item,available,607.44,317,2024-07-25,324
227,Among Item,out_of_stock,373.45,249,2024-08-14,244
228,Beat Item,available,767.68,298,2024-03-11,113
229,Really Item,available,570.28,452,2024-07-17,215
230,Other Item,available,360.84,321,2024-05-31,247
231,Four Item,available,732.12,245,2025-04-16,116
232,Every Item,pending,787.47,137,2023-09-26,244
233,Relationship Item,out_of_stock,253.53,171,2024-10-28,131
234,Former Item,out_of_stock,462.34,468,2023-10-23,223
235,Evidence Item,out_of_stock,867.83,251,2024-02-22,324
236,Catch Item,pending,109.99,457,2024-09-23,160
237,Quite Item,pending,369.9,123,2023-12-10,324
238,Lot Item,available,920.06,196,2023-12-22,135
239,Woman Item,available,755.9,406,2024-11-24,355
240,Would Item,available,526.34,378,2023-06-16,392
241,Act Item,available,670.54,209,2024-04-10,319
242,Pretty Item,out_of_stock,564.42,234,2024-07-01,399
243,Black Item,out_of_stock,138.17,320,2023-06-16,310
244,Note Item,available,231.67,435,2023-10-03,37
245,Move Item,pending,418.95,88,2023-11-12,317
246,Cause Item,pending,654.41,380,2025-04-14,164
247,Happy Item,out_of_stock,941.36,41,2025-03-05,227
248,Authority Item,available,446.44,179,2025-03-03,323
249,Election Item,out_of_stock,47.12,466,2024-02-02,279
250,Feel Item,out_of_stock,424.48,97,2023-08-21,42
251,Left Item,available,685.46,34,2025-01-27,269
252,Of Item,pending,113.51,435,2024-10-18,325
253,Five Item,out_of_stock,189.01,82,2024-08-08,21
254,Surface Item,available,418.14,42,2024-09-09,206
255,Newspaper Item,pending,474.64,121,2023-04-27,104
256,Region Item,out_of_stock,640.89,224,2025-01-14,24
257,Once Item,available,873.37,376,2023-12-09,68
258,Work Item,pending,656.22,10,2024-09-17,81
259,Body Item,out_of_stock,533.43,324,2025-04-19,143
260,Unit Item,available,73.22,31,2023-08-03,62
261,Everything Item,pending,84.49,14,2023-07-19,179
262,Voice Item,available,218.48,166,2023-07-13,137
263,Situation Item,available,396.27,41,2024-06-23,196
264,Clearly Item,pending,365.74,133,2023-11-18,40
265,Father Item,out_of_stock,708.99,208,2024-08-02,359
266,Develop Item,available,456.6,2,2024-10-29,186
267,Gun Item,pending,379.96,172,2023-09-26,292
268,Right Item,available,752.57,347,2024-08-25,313
269,Tonight Item,pending,327.61,340,2023-11-12,280
270,Mouth Item,available,811.78,171,2024-05-04,380
271,Enter Item,out_of_stock,948.09,453,2025-03-24,49
272,Whatever Item,out_of_stock,477.85,259,2025-02-06,43
273,Approach Item,available,808.99,88,2023-07-01,363
274,Protect Item,available,71.94,260,2024-03-15,211
275,Themselves Item,available,951.3,111,2023-11-21,110
276,Another Item,out_of_stock,117.0,204,2023-04-23,113
277,Goal Item,out_of_stock,398.4,423,2024-12-09,114
278,Case Item,pending,42.8,214,2024-08-27,280
279,Everybody Item,pending,30.04,322,2023-08-24,296
280,Site Item,out_of_stock,816.52,391,2024-03-29,198
281,Ok Item,out_of_stock,25.46,102,2024-10-20,115
282,Late Item,pending,867.74,343,2024-06-29,314
283,Act Item,pending,117.07,416,2023-07-16,245
284,Bag Item,out_of_stock,776.3,400,2025-03-06,313
285,Rock Item,pending,727.74,168,2025-03-23,275
286,Church Item,out_of_stock,893.62,194,2024-06-17,256
287,Also Item,out_of_stock,487.15,96,2025-01-28,36
288,Hope Item,available,977.81,27,2024-07-16,11
289,Old Item,available,103.39,196,2023-08-14,17
290,Law Item,pending,292.99,251,2023-07-28,125
291,Analysis Item,out_of_stock,32.98,238,2023-12-16,396
292,His Item,out_of_stock,114.8,265,2025-03-19,339
293,Worker Item,pending,977.89,142,2024-12-29,258
294,Traditional Item,available,439.69,269,2023-05-21,198
295,Way Item,out_of_stock,458.88,208,2024-01-23,280
296,Develop Item,available,757.49,305,2024-10-01,373
297,Enjoy Item,available,139.6,279,2024-09-20,334
298,Board Item,pending,723.33,438,2024-01-20,302
299,State Item,available,399.55,254,2024-06-28,12
300,Usually Item,available,814.25,15,2025-02-28,382
301,Investment Item,available,915.71,397,2024-08-15,79
302,So Item,out_of_stock,800.76,304,2023-08-19,377
303,Wish Item,out_of_stock,111.09,5,2025-04-12,165
304,Economic Item,out_of_stock,216.63,497,2025-02-20,243
305,Commercial Item,pending,237.37,245,2025-01-01,189
306,Talk Item,pending,962.37,273,2023-09-05,358
307,Upon Item,available,793.09,187,2024-03-06,208
308,Ago Item,available,800.27,468,2023-09-07,382
309,Since Item,out_of_stock,471.41,40,2025-04-08,326
310,Go Item,pending,760.79,454,2024-12-18,274
311,Word Item,pending,732.18,324,2024-03-05,5
312,Suffer Item,pending,992.49,312,2024-09-22,56
313,Treat Item,out_of_stock,745.5,135,2024-11-11,256
314,Talk Item,pending,979.84,335,2023-10-30,255
315,Example Item,available,972.52,213,2023-08-22,55
316,Store Item,available,754.66,139,2024-10-16,41
317,Box Item,out_of_stock,760.46,226,2024-02-12,198
318,Turn Item,out_of_stock,66.86,87,2023-05-21,139
319,Town Item,out_of_stock,354.46,263,2024-04-20,271
320,Doctor Item,available,46.67,236,2023-09-23,167
321,Technology Item,pending,747.94,123,2025-04-03,281
322,Magazine Item,out_of_stock,233.98,98,2024-01-17,23
323,Focus Item,pending,50.68,147,2025-01-17,110
324,Stuff Item,available,793.63,311,2025-02-25,262
325,Drive Item,available,238.76,87,2023-10-11,374
326,Agent Item,pending,580.64,33,2024-09-14,85
327,Data Item,pending,88.56,428,2024-02-24,122
328,Get Item,out_of_stock,33.74,134,2023-11-23,54
329,Treatment Item,available,954.07,97,2023-06-13,280
330,Spring Item,available,766.62,203,2023-11-23,323
331,Have Item,available,299.49,467,2024-08-31,235
332,Mr Item,out_of_stock,78.59,359,2024-02-25,284
333,Respond Item,available,713.84,482,2025-02-04,238
334,Not Item,available,63.67,279,2024-01-03,265
335,Wrong Item,out_of_stock,299.23,452,2023-05-12,162
336,Business Item,pending,362.89,394,2025-03-02,320
337,Every Item,out_of_stock,688.57,52,2023-09-06,57
338,Partner Item,out_of_stock,805.82,71,2023-11-13,153
339,American Item,out_of_stock,208.66,453,2023-07-14,80
340,Pick Item,pending,810.98,19,2024-03-23,356
341,Hair Item,out_of_stock,946.67,101,2024-11-06,182
342,Stop Item,available,44.69,464,2023-12-20,179
343,Least Item,out_of_stock,983.79,394,2024-08-03,324
344,Much Item,out_of_stock,852.67,428,2023-07-19,203
345,Image Item,pending,242.27,61,2025-03-19,355
346,Part Item,available,49.75,382,2023-09-15,375
347,Environmental Item,available,131.15,269,2023-05-25,374
348,Section Item,pending,838.05,462,2024-03-24,384
349,Ability Item,pending,990.16,487,2024-05-28,343
350,Wish Item,available,849.0,65,2025-01-06,87
351,Nothing Item,pending,640.82,203,2024-10-05,135
352,Serve Item,out_of_stock,982.03,496,2025-04-20,384
353,Site Item,available,790.38,17,2024-11-13,45
354,Religious Item,available,188.69,205,2023-09-21,93
355,Himself Item,pending,217.27,205,2024-03-20,329
356,Available Item,out_of_stock,188.16,6,2024-09-17,312
357,Wife Item,available,715.08,140,2024-01-02,132
358,Price Item,out_of_stock,886.61,166,2023-12-20,82
359,Record Item,out_of_stock,413.58,268,2025-02-07,340
360,Capital Item,out_of_stock,428.86,465,2024-10-31,118
361,We Item,pending,987.99,233,2023-12-10,136
362,Movement Item,available,708.45,165,2023-12-17,65
363,Reflect Item,out_of_stock,694.83,57,2024-03-03,278
364,General Item,pending,790.31,493,2024-02-27,388
365,Same Item,out_of_stock,560.02,221,2023-12-06,377
366,Once Item,pending,940.57,89,2023-07-28,219
367,Dark Item,out_of_stock,887.1,62,2024-03-12,92
368,Red Item,pending,789.88,455,2025-04-20,221
369,Hundred Item,available,194.83,85,2024-09-28,169
370,Smile Item,out_of_stock,966.3,33,2025-03-22,329
371,Contain Item,out_of_stock,813.41,439,2024-08-11,102
372,Outside Item,pending,327.36,419,2023-12-10,61
373,Into Item,available,359.11,36,2024-06-19,95
374,These Item,out_of_stock,54.01,154,2023-04-21,228
375,Fly Item,out_of_stock,945.82,59,2023-11-29,113
376,Develop Item,out_of_stock,651.43,458,2024-03-19,26
377,Stock Item,out_of_stock,119.92,94,2024-07-14,358
378,Policy Item,pending,415.94,17,2024-09-10,156
379,Fund Item,out_of_stock,726.25,207,2024-04-16,32
380,Letter Item,available,893.38,134,2024-03-29,243
381,Republican Item,out_of_stock,858.1,293,2023-10-03,40
382,Much Item,pending,279.44,166,2024-04-22,293
383,Student Item,available,516.85,120,2025-03-20,37
384,Style Item,pending,574.56,101,2024-11-12,84
385,Condition Item,out_of_stock,178.43,74,2024-09-13,127
386,Become Item,available,988.81,97,2023-11-27,16
387,Myself Item,out_of_stock,301.69,420,2024-09-17,96
388,Property Item,out_of_stock,694.64,168,2024-08-13,83
389,Government Item,pending,534.27,190,2023-07-02,345
390,Tell Item,available,544.21,358,2024-11-24,128
391,Easy Item,pending,56.21,103,2024-09-24,7
392,Force Item,out_of_stock,767.08,352,2023-10-12,23
393,Sure Item,available,362.22,347,2023-09-22,279
394,Choice Item,pending,685.99,212,2023-05-09,66
395,Any Item,available,610.85,362,2023-10-28,28
396,May Item,available,882.61,405,2024-08-07,356
397,To Item,out_of_stock,42.25,61,2024-12-07,164
398,Baby Item,available,241.56,310,2024-04-08,284
399,Join Item,pending,953.1,432,2025-03-09,252
400,Professional Item,available,35.05,437,2024-07-11,378
